Radical,Monomer,DE_decomposition_tail,DE_decomposition_head,DE_precursor,DE_TS,DE_product,DE_barrier,DE_reaction,DG_precursor,DG_TS,DG_product,DG_barrier,DG_reaction,E_Rad_SOMO,E_Rad_LUMO,E_Mon_HOMO,E_Mon_LUMO,DE_SHgap,DE_SLgap,VBur_R228_Mon,VBur_R350_Mon,VBur_R228_Rad,VBur_R350_Rad,Real_theta,Volume_MonteCarlo_Mon,Volume_MonteCarlo_Rad,CCdist_TS
C=C(C)C(=O)OC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0177658801579809,-0.0055465595439727,-0.0378855436429148,0.0122193206140082,-0.0201196634849338,0.0038521067592682,0.0184159711618576,-0.011134721743474,0.0145638644025893,-0.0149868285027423,-0.214231645,0.0445721163,-0.273330301,-0.0453630638,0.059098656,0.1688685812,84.7794511892745,44.03276511143535,95.1832431738488,66.36034939799293,257.9469904885853,79.4279,103.2494,2.2548823577707995
C=C(C)C(=O)OC,C=C(C)C(=O)OCC1CO1,0.0385338000849628,0.061518378913945,-0.0180002967659902,-0.0107328517240148,-0.0424749036400271,0.0072674450419754,-0.0244746068740369,0.0017390345616377,0.0148499531436527,-0.0129357196082082,0.013110918582015,-0.0146747541698459,-0.214231645,0.0445721163,-0.275241871,-0.0527995787,0.061010226,0.1614320663,84.78373051334268,44.05448414510542,95.1832431738488,66.36034939799293,302.56111426434063,107.5701,103.2494,2.275803352248168
C=C(C)C(=O)OC,C=Cc1ccccc1,0.0385338000849628,0.061518378913945,-0.0148667447369916,-0.0027424351969784,-0.0383690889419767,0.0121243095400132,-0.023502344204985,0.0042064628164553,0.0195068199335537,-0.0122254672547796,0.0153003571170984,-0.016431930071235,-0.214231645,0.0445721163,-0.230830579,-0.0422251322,0.016598934,0.1720065128,83.82566537196136,39.74979951661228,95.1832431738488,66.36034939799293,59.896560950075695,89.4457,103.2494,2.2961485936186707
C=C(C)C(=O)OC,CO/C=C\C(=O)OC,0.0385338000849628,0.061518378913945,-0.0229127486138622,-4.4704383867610886e-05,-0.0214255130368883,0.0228680442299946,0.0014872355769739,-0.0002812465315855,0.0243577353826367,0.004745335199118,0.0246389819142223,0.0050265817307035,-0.214231645,0.0445721163,-0.24217706,-0.0310365737,0.027945415,0.1831950713,89.37469006366125,50.469674103115295,95.1832431738488,66.36034939799293,176.30309749188666,91.9763,103.2494,2.134127030509899
C=C(C)C(=O)OC,C=C(C)C(=O)O,0.0385338000849628,0.061518378913945,-0.0129395530669853,0.0072157579410259,-0.0245937306630139,0.0201553110080112,-0.0116541775960286,0.0064876387565391,0.0286714449800911,0.0005868212556379,0.0221838062235519,-0.0059008175009012,-0.214231645,0.0445721163,-0.278312543,-0.0495002213,0.064080898,0.1647314237,84.78222016367157,44.04000478932537,95.1832431738488,66.36034939799293,68.17882012065559,69.6661,103.2494,2.2590673665625824
C=C(C)C(=O)OC,C=C(C)C(=O)OCC,0.0385338000849628,0.061518378913945,-0.017123168757962,-0.0058550750690073,-0.0393751286600263,0.0112680936889546,-0.0222519599020643,0.0034428254398335,0.0176199711128219,-0.0127461077203179,0.0141771456729884,-0.0161889331601514,-0.214231645,0.0445721163,-0.272568334,-0.0450012952,0.058336689,0.1692303498,84.78247188861675,44.063116068743525,95.1832431738488,66.36034939799293,173.84187495375102,91.9585,103.2494,2.2726655286491235
C=C(C)C(=O)OC,C=C(C)C(=O)OCCCC,0.0385338000849628,0.061518378913945,-0.0155481895830007,-0.0039006401990491,-0.0377714783520559,0.0116475493839516,-0.0222232887690552,0.0042717319089433,0.0174476195367105,-0.0133216775279834,0.0131758876277672,-0.0175934094369267,-0.214231645,0.0445721163,-0.271155121,-0.0448295241,0.056923476,0.1694021209,84.70166818121176,43.87857389483533,95.1832431738488,66.36034939799293,173.73704279777928,123.7497,103.2494,2.273807514008167
C=C(C)C(=O)OC,C=C(C)C(=O)OCC(C)C,0.0385338000849628,0.061518378913945,-0.0178174323898474,-0.0057657947978668,-0.0380478654498119,0.0120516375919805,-0.0202304330599645,0.0044897075855487,0.019061012034399,-0.0099640745372653,0.0145713044488502,-0.0144537821228141,-0.214231645,0.0445721163,-0.270695275,-0.0435325695,0.05646363,0.1706990755,84.68908193395241,43.71860485838076,95.1832431738488,66.36034939799293,155.48699248056414,126.6436,103.2494,2.2735008166785424
C=C(C)C(=O)OC,C=C(C)C(=O)OC(C)(C)C,0.0385338000849628,0.061518378913945,-0.0176691765969962,-0.0090826573730282,-0.0410273866250463,0.008586519223968,-0.02335821002805,0.0028830049202497,0.0164173137721945,-0.0127170329168393,0.0135343088519448,-0.015600037837089,-0.214231645,0.0445721163,-0.268201105,-0.0427574402,0.05396946,0.1714742048,84.7910305367531,44.41744261163026,95.1832431738488,66.36034939799293,179.56880051509324,118.0944,103.2494,2.273639270884676
C=C(C)C(=O)OC,C=C(C)C(=O)OCC1(CC)COC1,0.0385338000849628,0.061518378913945,-0.0208827758139023,-0.011153264225868,-0.0412782311439059,0.0097295115880342,-0.0203954553300036,0.0002368690472849,0.0147859730449226,-0.0106084100007137,0.0145491039976377,-0.0108452790479987,-0.214231645,0.0445721163,-0.254143357,-0.0442952237,0.039911712,0.1699364213,84.66617496394039,43.910734771616006,95.1832431738488,66.36034939799293,255.53396769951672,152.39669999999998,103.2494,2.2635084727250305
