Radical,Monomer,DE_DFT_precursor,DE_DFT_TS,DE_DFT_barrier,E_DFT_Rad_SOMO,E_DFT_Rad_LUMO,E_DFT_Mon_HOMO,E_DFT_Mon_LUMO,DE_DFT_SHgap,DE_DFT_SLgap,VBur_DFT_R228_Mon,VBur_DFT_R350_Mon,VBur_DFT_R228_Rad,VBur_DFT_R350_Rad,DE_DFT_decomposition_head,DE_DFT_decomposition_tail,Real_DFT_theta,Volume_MonteCarlo_Mon,Volume_MonteCarlo_Rad,CCdist_DFT_TS,Mass,LogP_Mon,LogP_Rad
0,0,-0.0177658801579809,-0.0055465595439727,0.0122193206140082,-0.214231645,0.0445721163,-0.273330301,-0.0453630638,0.059098656,0.1688685812,84.7794511892745,44.03276511143535,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,257.9469904885853,79.4279,103.2494,2.2548823577707995,215.1283340864,1.0,1.0
0,1,-0.0180002967659902,-0.0107328517240148,0.0072674450419754,-0.214231645,0.0445721163,-0.275241871,-0.0527995787,0.061010226,0.1614320663,84.78373051334268,44.05448414510542,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,302.56111426434063,107.5701,103.2494,2.275803352248168,257.13889877,0.6,1.0
0,2,-0.0148667447369916,-0.0027424351969784,0.0121243095400132,-0.214231645,0.0445721163,-0.230830579,-0.0422251322,0.016598934,0.1720065128,83.82566537196136,39.74979951661228,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,59.896560950075695,89.4457,103.2494,2.2961485936186707,219.1385048472,2.7,1.0
0,3,-0.0229127486138622,-4.4704383867610886e-05,0.0228680442299946,-0.214231645,0.0445721163,-0.24217706,-0.0310365737,0.027945415,0.1831950713,89.37469006366125,50.469674103115295,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,176.30309749188666,91.9763,103.2494,2.134127030509899,231.123248706,0.2,1.0
0,4,-0.0129395530669853,0.0072157579410259,0.0201553110080112,-0.214231645,0.0445721163,-0.278312543,-0.0495002213,0.064080898,0.1647314237,84.78222016367157,44.04000478932537,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,68.17882012065559,69.6661,103.2494,2.2590673665625824,201.1126840224,0.7,1.0
0,5,-0.017123168757962,-0.0058550750690073,0.0112680936889546,-0.214231645,0.0445721163,-0.272568334,-0.0450012952,0.058336689,0.1692303498,84.78247188861675,44.063116068743525,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,173.84187495375102,91.9585,103.2494,2.2726655286491235,229.1439841504,1.3,1.0
0,6,-0.0155481895830007,-0.0039006401990491,0.0116475493839516,-0.214231645,0.0445721163,-0.271155121,-0.0448295241,0.056923476,0.1694021209,84.70166818121176,43.87857389483533,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,173.73704279777928,123.7497,103.2494,2.273807514008167,257.1752842784,2.2,1.0
0,7,-0.0178174323898474,-0.0057657947978668,0.0120516375919805,-0.214231645,0.0445721163,-0.270695275,-0.0435325695,0.05646363,0.1706990755,84.68908193395241,43.71860485838076,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,155.48699248056414,126.6436,103.2494,2.2735008166785424,257.1752842784,2.2,1.0
0,8,-0.0176691765969962,-0.0090826573730282,0.008586519223968,-0.214231645,0.0445721163,-0.268201105,-0.0427574402,0.05396946,0.1714742048,84.7910305367531,44.41744261163026,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,179.56880051509324,118.0944,103.2494,2.273639270884676,257.1752842784,1.9,1.0
0,9,-0.0208827758139023,-0.011153264225868,0.0097295115880342,-0.214231645,0.0445721163,-0.254143357,-0.0442952237,0.039911712,0.1699364213,84.66617496394039,43.910734771616006,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,255.53396769951672,152.39669999999998,103.2494,2.2635084727250305,299.185848962,1.7,1.0
0,10,-0.0186348989381031,-0.003316156431083,0.01531874250702,-0.214231645,0.0445721163,-0.273401581,-0.0468043534,0.059169936,0.1674272916,84.79405123609534,45.74439203412673,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,101.0920026866761,169.66089999999997,103.2494,2.263344348123149,313.23788453440017,3.9,1.0
0,11,-0.0173746449661393,-0.0074531832740376,0.0099214616921017,-0.214231645,0.0445721163,-0.270840759,-0.0456793768,0.0566091139999999,0.1685522682,84.70217163110213,46.8800468908368,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,301.37163669495305,225.40860000000004,103.2494,2.287389638527945,369.3004847904001,5.6,1.0
0,12,-0.0160452265879484,-0.0056252719889471,0.0104199545990013,-0.214231645,0.0445721163,-0.271005961,-0.0450195085,0.056774316,0.1692121365,84.70343025582807,43.82608623013265,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,313.8098216662072,321.3909,103.2494,2.273859073974023,453.3943851744001,8.1,1.0
0,13,-0.0129858572108787,-0.0051708386398559,0.0078150185710228,-0.214231645,0.0445721163,-0.271586573,-0.0445708694,0.057354928,0.1696607756,84.78952018708198,45.85618936769767,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,85.00145102365627,139.484,103.2494,2.264796381744284,283.19093434240017,2.5,1.0
0,14,-0.0206430085928559,-0.0094735812768931,0.0111694273159628,-0.214231645,0.0445721163,-0.255849981,-0.0463601334,0.041618336,0.1678715116,84.79052708686272,44.093884699776126,95.1832431738488,66.36034939799293,0.061518378913945,0.0385338000849628,325.6060758006096,141.09359999999998,103.2494,2.275570027345456,291.15963421440006,2.7,1.0
