Monomer,Radical,DE_tail,DE_head,DE_precursor,DE_TS,DE_product,DE_barrier,DE_reaction,E_Rad_SOMO,E_Rad_LUMO,E_Mon_HOMO,E_Mon_LUMO,DE_SHgap,DE_SLgap,VBur_R228_Rad,VBur_R350_Rad,VBur_R228_Mon,VBur_R350_Mon,Volume_Rad,Volume_Mon,CCdist_TS,Theta_TS,Sum_MW,logP_Rad,logP_Mon
C=C(C)C(=O)OC1CCCCC1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0129858572108787,-0.0051708386398559,-0.0367580761959516,0.0078150185710228,-0.0237722189850728,-0.214231645,0.0445721163,-0.271586573,-0.0445708694,0.057354928,0.1696607756,84.78952018708198,45.85618936769767,95.1832431738488,66.36034939799293,103.2494,139.484,2.264796381744284,85.00145102365627,283.19093434240017,1.0,2.5
C=C(C)C(=O)OCc1ccccc1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0206430085928559,-0.0094735812768931,-0.0427291113408045,0.0111694273159628,-0.0220861027479486,-0.214231645,0.0445721163,-0.255849981,-0.0463601334,0.041618336,0.1678715116,84.79052708686272,44.093884699776126,95.1832431738488,66.36034939799293,103.2494,141.09359999999998,2.275570027345456,325.6060758006096,291.15963421440006,1.0,2.7
C=C(C)C(=O)OCCO,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0142087139528257,0.0001034528571608,-0.0310599648448715,0.0143121668099865,-0.0168512508920457,-0.214231645,0.0445721163,-0.266825468,-0.0539529079,0.052593823,0.1602787371,84.79228916147903,44.07613356648809,95.1832431738488,66.36034939799293,103.2494,104.30620000000002,2.2675652202212397,67.74820361183248,245.13889876999997,1.0,0.5
C=C(C)C(=O)OCC(C)O,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0191896953069772,-0.0097785460139903,-0.0408547064439517,0.0094111492929869,-0.0216650111369745,-0.214231645,0.0445721163,-0.257186519,-0.0583669883,0.042954874,0.1558646567,84.70921992956735,43.86346802846864,95.1832431738488,66.36034939799293,103.2494,109.707,2.267367340441773,292.09738559329776,259.154548834,1.0,0.8
C=C(C)C(=O)O[C@@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0141421525668192,-0.0022888819498803,-0.03152836753884,0.0118532706169389,-0.0173862149720207,-0.214231645,0.0445721163,-0.263827214,-0.0452139081,0.0495955689999999,0.1690177369,84.78851328730124,44.372333849392426,95.1832431738488,66.36034939799293,103.2494,178.6675,2.258747164613384,260.3582725849036,351.21714908999996,1.0,1.5
C=C(C)C(=O)OC12CC3CC(O)(CC(O)(C3)C1)C2,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0217278991131024,-0.0100885152919545,-0.0391115840470774,0.0116393838211479,-0.017383684933975,-0.214231645,0.0445721163,-0.261166496,-0.0460282424,0.046934851,0.1682034026,84.79354778620497,44.39015459496787,95.1832431738488,66.36034939799293,103.2494,181.6717,2.250641459513487,253.3667609905747,367.2120637096,1.0,0.2
C=C(C)C(=O)OCCN(C)C,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0144664306849335,-0.0038742841179555,-0.0365702478499088,0.010592146566978,-0.0221038171649752,-0.214231645,0.0445721163,-0.201338652,-0.0464054244,-0.0128929929999999,0.1678262206,84.69764058208877,45.15359255092835,95.1832431738488,66.36034939799293,103.2494,128.7579,2.2761054696621597,313.38407483730975,272.18618331540017,1.0,1.0
C=C(C)C(=O)OCCN(CC)CC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0134234980611154,0.0007250382609527,-0.0332169881030495,0.0141485363220681,-0.019793490041934,-0.214231645,0.0445721163,-0.210615311,-0.0409535462,-0.0036163339999999,0.1732780988,84.70191990615695,45.917726629762875,95.1832431738488,66.36034939799293,103.2494,163.0543,2.2855206291969887,179.78627614621485,300.21748344340006,1.0,1.7
C=C(C)C(=O)OC1CC2CC1C1CCCC21,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0139636487390362,-0.0015531779031334,-0.0342474632500398,0.0124104708359027,-0.0202838145110035,-0.214231645,0.0445721163,-0.269312062,-0.0426830833,0.055080417,0.1715485617,84.69411643285615,43.737817849704285,95.1832431738488,66.36034939799293,103.2494,170.00459999999998,2.2661093331658706,326.2916229252083,335.22223447040017,1.0,2.9
C=C(C)C(=O)OCCOC1CC2CC1C1C=CCC21,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0169697020810417,-0.0045030517678696,-0.0363762585159292,0.012466650313172,-0.0194065564348875,-0.214231645,0.0445721163,-0.241692137,-0.0495503021,0.027460492,0.1646813429,84.78775811246567,44.07787387367319,95.1832431738488,66.36034939799293,103.2494,206.4388,2.268458171323421,152.17912588297122,377.2327991540001,1.0,2.5
